以下是一些常見的語言的英文簡寫：

英語: EN (English)
西班牙語: ES (Spanish)
法語: FR (French)
德語: DE (German)
義大利語: IT (Italian)
葡萄牙語: PT (Portuguese)
中文简体: ZH-CN
中文繁體: ZH-TW
日語: JA (Japanese)
韓語: KO (Korean)
俄語: RU (Russian)
阿拉伯語: AR (Arabic)
希臘語: EL (Greek)
拉丁語: LA (Latin)
印度語: HI (Hindi)
布爾語: BG (Bulgarian)
克羅地亞語: HR (Croatian)
捷克語: CS (Czech)
丹麥語: DA (Danish)
荷蘭語: NL (Dutch)
愛沙尼亞語: ET (Estonian)
芬蘭語: FI (Finnish)
匈牙利語: HU (Hungarian)
冰島語: IS (Icelandic)
愛爾蘭語: GA (Irish)
拉脫維亞語: LV (Latvian)
立陶宛語: LT (Lithuanian)
馬耳他語: MT (Maltese)
波蘭語: PL (Polish)
羅馬尼亞語: RO (Romanian)
斯洛伐克語: SK (Slovak)
斯洛文尼亞語: SL (Slovenian)
瑞典語: SV (Swedish)
土耳其語: TR (Turkish)
威爾斯語: CY (Welsh)
